Unnamed: 0,db_path,generated_sql,gold_sql,question,isCorrect,response
0,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT count(*) FROM club,SELECT count(*) FROM club,How many clubs are there?,True,SELECT count(*) FROM club
1,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT count(*) FROM club,SELECT count(*) FROM club,Count the number of clubs.,True,SELECT count(*) FROM club
2,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC,List the name of clubs in ascending alphabetical order.,True,SELECT Name FROM club ORDER BY Name ASC
3,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM club ORDER BY Name,SELECT Name FROM club ORDER BY Name ASC,"What are the names of clubs, ordered alphabetically?",True,SELECT Name FROM club ORDER BY Name
4,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT Manager,  Captain FROM club","SELECT Manager ,  Captain FROM club",What are the managers and captains of clubs?,True,"SELECT Manager,  Captain FROM club"
5,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT Manager,  Captain FROM club","SELECT Manager ,  Captain FROM club",Return the managers and captains of all clubs.,True,"SELECT Manager,  Captain FROM club"
6,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT Name FROM club WHERE Manufacturer!= ""Nike""","SELECT Name FROM club WHERE Manufacturer != ""Nike""","List the name of clubs whose manufacturer is not ""Nike""",True,"SELECT Name FROM club WHERE Manufacturer!= ""Nike"""
7,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM club WHERE Manufacturer!= 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike""",What are the names of clubs who do not have the manufacturer Nike?,True,SELECT Name FROM club WHERE Manufacturer!= 'Nike'
8,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC,What are the names of players in ascending order of wins count?,True,SELECT Name FROM player ORDER BY Wins_count ASC
9,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC,"Return the names of players in order of count of wins, ascending.",True,SELECT Name FROM player ORDER BY Wins_count ASC
10,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1,What is the name of the player with the highest earnings?,True,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
